fid,Crop_id,date_observed,stage,height_cm,crop_health,Notes,Photo
1,1,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
2,2,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
3,3,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
4,4,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
5,5,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
6,6,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
7,7,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
8,8,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
9,9,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
10,10,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
11,11,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
12,12,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
13,13,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
14,14,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
15,15,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
16,16,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
17,17,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
18,18,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
19,19,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
20,20,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
21,21,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
22,22,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
23,23,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
24,24,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
25,25,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
26,26,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
27,27,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
28,28,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
29,29,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
30,30,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
31,31,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
32,32,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
33,33,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
34,34,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
35,35,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
36,36,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
37,37,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
38,38,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
39,39,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
40,40,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
41,41,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
42,42,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
43,43,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
44,44,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
45,45,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
46,46,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
47,47,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
48,48,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
49,49,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
50,50,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
51,51,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
52,52,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
53,53,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
54,54,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
55,55,20/08/2025,Vegetative,5,Fair,,files/monitoring_20250820124409720_image_0001.jpg
